actuator's  autocrat's
mixer  remix
emits  items mites smite times
emit  item mite time
pointers  proteins
pointer  protein
opines  ponies
nosier  senior
neurosis  resinous
orients  stonier
eosin  noise
enosis  noises
envoi  ovine
printers  reprints sprinter
printer  reprint
ripens  sniper
punier  unripe
penis  pines snipe spine
snipes  spines
instep  spinet
reins  resin rinse risen siren
resins  rinses sirens
insures  sunrise
insert  sinter
inverts  striven
insure  ursine
inert  inter nitre trine
inure  urine
inset  stein tines
unites  unties
twines  wisent
veins  vines
sinew  swine wines
unite  untie
vein  vine
winze  wizen
pervious  previous viperous
poises  posies
resistor  sorriest
rioters  roister
pipers  sipper
equip  pique
pier  ripe
prier  riper
piers  pries prise spire
pisser  spires
persist  priests spriest stripes
esprit  priest ripest sprite stripe
petri  tripe
pisses  sepsis
piste  spite
swipe  wipes
quiet  quite
wirer  wrier
rise  sire
rises  sires
resists  sisters
resist  sister
rites  tiers tires tries
sitter  titres
rivets  strive
wriest  writes
weirs  wires wiser
rite  tier tire
titre  trite
weir  wire
suites  tissue
exists  sexist
site  ties
exist  exits
views  wives
wise  wise
jest  jets
pokes  spoke
reworks  workers
rework  worker
stoker  stroke
lovely  volley
swell  wells
lemon  melon
lemons  melons solemn
molest  motels
melts  smelt
enrol  loner
enrols  loners
lessons  sonless
looter  retool
lope  pole
lopper  propel
stopple  topples
poles  slope
lore  role
loser  roles
lovers  solver
lowers  slower
louvre  velour
lower  rowel
lose  sloe sole
loess  loses soles
solute  tousle
lowest  towels
loves  solve voles
vowels  wolves
owlet  towel
love  vole
purples  suppler
pluses  pulses
pelts  slept spelt
results  rustles
lustre  result rustle
lures  rules
lyres  slyer
lure  rule
lyre  rely
slyest  styles
lest  lets
mentors  monster
meson  omens
mope  poem
mopes  poems
smote  tomes
mote  tome
motet  motte totem
strumpet  trumpets
estrum  muster
neon  none
neurons  nonuser
sonnet  tonnes
eon  neo one
nope  open peon pone
overturns  turnovers
overturn  turnover
senor  snore
sensor  snores
stoner  tenors tensor
owners  worsen
tenor  toner
eons  nose ones
onsets  stenos stones
notes  onset steno stone tones
note  tone
punster  punters
returns  turners
return  turner
rents  stern
tuners  unrest
nurse  runes
rent  tern
nest  nets sent tens
tunes  unset
nexus  unsex
news  sewn
net  ten
nett  tent
newt  went
rooter  torero
stopper  toppers
pore  rope
repro  roper
porters  reports
porter  report
pores  poser prose ropes spore
posers  spores
posters  prestos reposts
protests  spotters
poster  presto repost
potters  protest spotter
posture  troupes
toper  trope
pouter  troupe
epos  peso pose
pesos  poses posse
opuses  spouse
poets  topes
expos  poxes
poet  tope
quote  toque
ore  roe
resorts  sorters
resort  roster sorter
routers  trouser
ores  roes rose sore
roses  sores
sorest  stores
oestrus  sourest
rouses  serous
servos  versos
otters  tortes
ouster  routes
strove  voters
oyster  storey
roves  servo verso
sower  swore worse
rote  tore
otter  torte
outer  route
overt  trove voter
tower  tower wrote
over  rove
stove  votes
veto  vote
owe  woe
supper  uppers
per  pre rep
pursuer  usurper
putters  sputter
erupts  purest
purse  super
prey  pyre
pests  steps
pest  pets step
pews  spew
retry  terry
russets  trusses
rests  tress
russet  surest
strews  wrests
truest  utters
suture  uterus
strew  wrest
treys  tyres
rues  ruse sure user
trey  tyre
sues  uses
stet  test
stew  west wets
sue  use
flushing  lungfish
flirting  trifling
flowing  fowling
fringy  frying
flog  golf
hurtful  ruthful
forth  froth
filmstrip  stripfilm
kinfolks  kinsfolk
flits  lifts
flit  lift
first  rifts
frit  rift
fists  sifts
fist  fits sift
flows  fowls
flow  fowl wolf
form  from
for  fro
forts  frost
furs  surf
singling  slinging
glinting  tingling
signing  singing
gingko  ginkgo
goring  gringo
surging  urgings
hitting  tithing
hustling  sunlight
spotlights  stoplights
spotlight  stoplight
lights  slight
shooting  soothing
horsing  shoring
shouting  southing
gunship  pushing
nights  things
night  thing
girth  right
ghouls  slough
ghoul  lough
gunshot  noughts shotgun
gosh  hogs
sought  toughs
ought  tough
gush  hugs
hug  ugh
inkling  linking
inklings  slinking
kingpin  pinking
pigskin  spiking
skirting  striking
lilting  tilling
sliming  smiling
lignin  lining
ligroin  roiling
lisping  pilings
listing  silting
tilting  titling
wilting  witling
miring  riming
misting  smiting timings
innings  sinning
ironings  rosining
inuring  ruining
suspiring  uprisings
rising  siring
riving  virgin
gink  king
lumping  pluming
lingo  login
looping  pooling
loosing  soloing
looting  tooling
loping  poling
logins  losing soling
luring  ruling
mooring  rooming
musings  mussing
gimpy  pigmy
snooping  spooning
noting  toning
turnings  unstring
stopping  toppings
poring  roping
posturing  sprouting
postings  signpost
opting  toping
sorting  storing
rousing  souring
routing  touring
ousting  outings
grin  ring
grins  rings
ruing  unrig
gins  sign sing
signs  sings
suing  using
swing  wings
wing  wing
gip  pig
grip  prig
grips  sprig
grist  grits
girt  grit trig
swig  wigs
lungs  slung
logs  slog
gulps  plugs
gulp  plug
lugs  slug
gums  mugs smug
gum  mug
oppugn  popgun
grown  wrong
snog  song
grunts  strung
gnus  guns snug sung
gnu  gun
grot  trog
gory  gyro orgy
got  tog
gust  guts tugs
gusty  gutsy
gut  tug
kinship  pinkish
hills  shill
punish  unship
hints  thins
hint  thin
hippos  popish
outwith  without
hip  phi
hips  ship
hits  shit this
whit  with
hooks  shook
mho  ohm
hums  mush
horns  shorn
north  thorn
hunts  shunt
ho  oh
oho  ooh
outshoot  shootout
hoop  pooh
hoots  shoot sooth
hops  posh shop
horst  short
throw  worth wroth
hosts  shots
host  shot
shout  south
how  who
thrust  truths
huts  shut thus
imprints  misprint
kills  skill
kiln  link
links  slink
ink  kin
inks  sink skin
sinks  skins
knits  stink
kips  skip
irks  risk
kiss  skis
kits  skit
pills  spill
ills  sill
still  tills
swill  wills
lilt  till
limo  moil
lino  lion loin
lions  loins
insult  sunlit
polis  spoil
pilots  pistol spoilt
oils  silo soil
silos  soils
lips  lisp slip
lisps  slips
spilt  split
lists  silts slits
list  silt slit
stilt  tilts
lxiv  lxvi
inmost  monist
myosin  simony
imports  tropism
moist  omits
primus  purism
miry  rimy
unions  unison
portions  positron sorption
options  potions
option  potion
piston  pitons points
pinto  piton point
irons  rosin
intro  nitro
nip  pin
prints  sprint
nips  pins snip spin
snips  spins
ins  sin
nisus  sinus
snit  tins
stint  tints
nit  tin
isotropy  porosity
riots  torsi trios
riot  trio
irrupts  stirrup
sprit  strip trips
piss  sips
pits  spit tips
pit  tip
wrist  writs
its  sit
iv  vi
xiv  xvi
xxiv  xxvi
xxxiv  xxxvi
ix  xi
xix  xxi
xxix  xxxi
lookout  outlook
punks  spunk
outwork  workout
stroll  trolls
lumps  plums slump
lump  plum
lumpy  plumy
loop  polo pool
loops  pools sloop spool
sloops  spools
loots  stool tools
loot  tool
lops  slop
ploy  poly
lost  lots slot
lotus  louts
lows  owls slow
low  owl
lust  slut
mono  moon
morn  norm
moor  room
moors  rooms
prom  romp
most  toms
mot  tom
musts  smuts
muss  sums
must  smut
nono  noon
no  on
pronto  proton
snoop  spoon
snoops  spoons
outturn  turnout
snot  tons
snout  tonus
owns  snow sown
not  ton
nowt  town wont
now  own won
puns  spun
runts  turns
runs  urns
runt  turn
run  urn
nuts  stun
nut  tun
proto  troop
swoop  woops
roost  roots torso
sotto  toots
sports  strops
ports  sport strop
sprout  stupor
port  trop
ops  sop
posts  spots stops
opts  post pots spot stop tops
pouts  spout stoup
opus  soup
opt  pot top
output  putout
orts  rots sort
roust  torus tours
strow  worst
story  tyros
ours  sour
ort  rot
tort  trot
trout  tutor
rout  tour
ryot  troy tyro
stows  swots
stout  touts
oust  outs
stow  swot tows twos
tow  two
pursy  syrup
pus  sup ups
struts  trusts
rusts  truss
strut  trust
rust  ruts
